ID,target
000137c73,2899763.01948902
00021489f,2277102.37276393
0004d7953,2148588.92819293
00056a333,8174962.53504639
00056d8eb,3026370.68361135
0005fc190,3143896.02917734
000787e86,2791269.61369861
0008510a0,2774557.07060581
000895faf,4120653.77213653
000986fba,3143552.76529069
0009efcc5,3954975.00881623
000dd8f00,8153730.29146376
000e1cdc2,738139.58635419
00103739c,1379315.88878032
00134b367,1656452.03039983
001788d0d,2107206.57766175
0019c8ad7,3436563.50276950
001a267b9,876953.15154093
001a85486,2312805.43133833
001c4de06,4438437.53487298
001f9014b,3657349.03713081
00216fb94,3362129.31977011
00235690e,4107404.63410278
00240739d,10356552.67694034
0024c3747,1799740.71604075
00297052d,2565855.42241578
002ab8f85,1344534.08404066
002bed5c0,2208205.34934812
002bf3974,5166490.56696252
002d23a26,1314877.81920643
002f27de9,2724453.27051419
0030d8bb4,3687947.78014128
003146acd,2157718.58716634
003223263,2147187.55752559
00335575e,2717773.19678935
00337cf9d,2152758.58816225
003394397,2352400.89425892
0036358a3,3686746.60631029
003770d30,3239886.82048737
003bed5ea,2230254.14421529
003ea6427,2669272.73526907
003ef8132,6215107.12980442
003fd1723,2790851.01821833
0041861b4,887182.19040404
0042b718b,1934636.11274988
004381d8f,4927097.78868907
0043ca764,2708899.15588610
004486837,1066487.06065813
0045c123e,2841970.33826335
0048915c6,6251176.00868772
004ab9a09,2969955.14747685
004b2e1c9,5119507.81818551
004c54732,1175221.86311314
004cdefce,5683529.50971556
004dd971b,2299427.45093638
004f9329b,2823161.84776463
004fd2bca,1120786.05144966
0054bfedb,1665519.05386987
0054ec58a,221015.18034850
00551f45d,19205444.64777988
005777b4c,1492443.85799463
00578d6ea,2429717.50391585
005802488,1738173.75997657
0059833b6,2848949.68978156
005a70085,2393311.48105763
005b148a0,3617401.61311362
005c28df4,2067836.58315223
005f8dc26,2846351.44216484
00603c202,4919990.55634902
006049609,3811752.38161411
00612f47e,892786.24060960
00647a57f,5037516.34272559
0065853ee,2905338.86309182
006589d5e,918499.66426238
006598823,5761946.89887125
0065c093c,2258827.54756622
006738351,2393558.05048453
006a0c6a8,1829497.67144639
006e9efe6,2933894.64789635
006f029d3,2965579.29194671
0070f35a2,2097625.30233139
007135f85,3835920.27891525
007285433,20873311.44679551
00735e101,2392400.41416587
0074ecf4e,3046799.32961318
007635fa9,1363876.40717540
007723613,6642908.65126785
007867da9,905228.32935268
0078bfbd6,1301536.75436197
0078ce229,801170.60782786
007a89d50,2321373.09597744
007d43dfa,2481256.84284800
007ee9e05,2668374.69386171
007ffeae2,1590297.72856762
00835c85c,1486596.49691485
0084b08f1,2423904.95946236
0087fb290,1748541.88635407
0088a96bd,2544162.86072559
008ac4292,3229113.15095821
008d8cca8,2823577.52074210
008e07b8c,2468736.42945475
008e5e25a,3732378.47229522
0094edcdb,1225324.18408833
00950141c,3683143.04622676
009566ef1,4422172.12312935
0095c81d4,1475811.44980464
0097a6ed4,3585796.34092944
0098fef9a,2170928.96124107
009b321ec,5256744.64657482
009cd681e,3702828.97372302
009f34f86,2835297.59899885
009f35cd3,2403862.95521590
009f65109,3443908.97914905
00a19014a,4460038.79045305
00a27e76a,865457.88110598
00a3b6ef7,3106577.44787799
00a427603,1946441.62664736
00a6dc8be,2802611.24697500
00a811734,7954569.98873880
00a8f58a7,6424825.45935081
00aaae151,2478629.05269189
00ab17f67,3822112.60278043
00ac2d3a5,2722907.03969959
00adab1b6,2635815.08734019
00aef0d56,611020.66101381
00b0b06c4,1646579.21140723
00b0e2303,1138411.23278436
00b1fbbc9,910913.65488992
00b43e0c1,5749725.03311503
00b7190a8,2765881.12767109
00b722e1b,1391584.27818016
00bba815f,2514556.13230058
00bbb1c42,3214534.73691467
00bc2b665,3065670.57566463
00bc35689,3898583.94973830
00be23f52,3533491.72326667
00be24ac5,2797151.19536813
00bfd0f70,903721.94188610
00c02f73e,5187901.25231995
00c08e5b3,1947916.16529645
00c8690ff,2837911.71688127
00c8df4d5,2200702.43370383
00c8e30de,2375206.83130724
00ca3fb04,1062248.44805904
00cabf621,2641314.28199463
00cb48ae3,1819529.38612300
00cb6b147,2369462.66565996
00cc91a22,4252572.64899344
00cd65e9d,2120253.92770624
00cd7d6a8,1028908.85478078
00cdc1483,1643084.80222807
00ce9bea5,2587345.94561626
00cea0091,4221020.81301064
00cea68c6,3340905.37727408
00d5a5975,3603719.93537899
00d80a3a4,31404430.04289120
00d9f3864,499228.58347660
00da4bd31,3257510.22675182
00df4dd77,5596127.91567748
