ID,target
0,
0,
0004d7953,
00056a333,
0,
0,
0,
0,
0,
000986fba,
0009efcc5,20000000.000000015
0,
0,
0,
0,
001788d0d,
0019c8ad7,
001a267b9,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
002bf3974,
0,
0,
0,
0,
003223263,
0,
00337cf9d,
0,
0,
0,
0,
0,
0,
0,
0041861b4,2943749.9999999995
0,
0,
0,
004486837,
0045c123e,4000000.0000000005
0,
004ab9a09,
004b2e1c9,
0,
0,
004dd971b,2022666.6599999997
0,
004fd2bca,
0054bfedb,
0,
00551f45d,20000000.000000015
0,
0,
0,
0,
0,
0,
0,
0,
00603c202,
0,
0,
0,
0,
0,
006598823,9999999.999999996
0065c093c,
0,
006a0c6a8,
0,
0,
0,
0,
007285433,39999999.999999985
00735e101,
0,
007635fa9,
0,
0,
0078bfbd6,
0,
0,
0,
0,
0,
0,
0,
0,
0088a96bd,2794857.1400000015
0,
0,
0,
0,
0094edcdb,933333.3399999993
0,
009566ef1,
0,
0097a6ed4,12400000.000000017
0098fef9a,
0,
0,
0,
0,
009f65109,6000000.0
00a19014a,17999999.999999985
00a27e76a,360000.0000000001
0,
00a427603,
0,
00a811734,9999999.999999996
0,
0,
0,
0,
0,
0,
00b0b06c4,2100000.000000001
00b0e2303,531000.0000000003
0,
0,
0,
00b722e1b,189999.9999999999
0,
0,
0,
00bc35689,2800000.000000002
0,
0,
0,
0,
0,
0,
00c8df4d5,800000.0000000005
0,
0,
0,
00cb48ae3,
0,
00cc91a22,
00cd65e9d,
00cd7d6a8,
0,
00ce9bea5,
00cea0091,
0,
0,
00d80a3a4,37500000.0
00d9f3864,
0,
0,
0,
0,
0,
0,
00e90abfa,
0,
00e9c680f,20000000.000000015
0,
00eae8832,
0,
00ecbcb1b,
00ed49382,
0,
00ef96cfd,90666.66000000003
0,
0,
0,
00f43f548,
0,
0,
0,
0,
0,
00ff96f49,
0,
0,
0,
0,
0,
0,
0,
010d0a2dd,
0,
0,
01108a561,109999.99999999991
0110cca98,
0,
0114795f0,
011626c20,39200000.00000003
0,
0117dcb47,
0,
0,
0,
011b7902b,
011ca122e,199999.99999999997
0,
0122a258e,
0,
0,
012414f4e,5416666.66
0,
0124529b5,267999.99999999977
012556288,
0,
0,
0,
0,
0,
012b6ba95,379999.9999999999
0,
0,
0,
012fa70bb,4170000.000000003
0,
0,
0,
0133b85e7,
0,
0,
013750184,
0,
0,
013e96334,
0,
0,
0140ea0ba,
0143ee127,
014461014,
01446634f,800000.0000000005
014729fb2,16999999.999999974
014749c88,3555000.000000002
014787fc1,1459999.999999999
0,
0,
0,
0,
014c523b1,20000000.000000015
0,
0,
0,
0,
0,
01560b792,46999.99999999999
0,
0,
0,
01590d52a,14800000.000000004
0,
015b07817,
015fc3313,
0,
016054375,
0,
0,
016b405be,2199999.9999999995
0,
016c31d1a,199999.99999999997
016d290da,9999999.999999996
0,
016ee1214,
0,
0,
017029678,
0,
0,
0,
0174ed320,1059999.9999999993
0,
0,
0,
0,
017b80d83,5333333.339999996
017d9f1a4,999999.9999999997
017e22e34,
0,
0,
0,
0,
0,
0,
0,
0186cbba4,
0,
01890383f,399999.9999999999
0,
0,
0,
0,
0,
0,
0,
0,
0,
01937e592,600000.0000000003
019381521,
01952e574,2000000.0000000016
019540ad9,
0,
0196be03d,
0,
0,
0,
0,
0,
0,
0,
0,
0,
019fd88df,
0,
0,
01a4d6c6c,
0,
01a72cedb,
01a900d08,
0,
0,
0,
0,
0,
0,
0,
0,
0,
01b342719,2100000.000000001
0,
01b6d93e9,
01b6e8722,199999.99999999997
0,
0,
01b7d0580,20000000.000000015
0,
01b80bb3c,
0,
0,
01bc848d9,
0,
0,
0,
0,
01c1d1fb0,3000000.000000001
0,
0,
01c362322,6720000.000000003
0,
0,
01c6933d0,39999999.999999985
0,
0,
0,
01c898445,
01c9fd3a7,
0,
0,
01cc582f5,189999.9999999999
01cca8141,399999.9999999999
01cef01a2,3000000.000000001
01d10e85d,
01d193713,4000000.0000000005
0,
0,
0,
0,
0,
0,
0,
0,
0,
01dd8785b,
0,
0,
0,
0,
0,
01e37465e,50000.000000000015
0,
0,
01e8de681,
0,
0,
0,
0,
0,
01ee29ec7,
01eed81f9,
0,
0,
0,
01f330ffe,8400000.000000006
01f39eb1e,800000.0000000005
0,
0,
